"","Group.1","Group.2","MOL.MAGYAR.OLAJ.ES.GAZIPARI","OTP.BANK","RICHTER.GEDEON","MAGYAR.TKOM.TELECOM.","BUDAPEST.ELECTRICITY","X4IG.NYILVANOSAN","ALLAMI.NYOMDA","ALTEO.ENERGY","ALTERA.WEALTH.MANAGEMENT","APPENINN.NYILVANOSAN","BPT.PR.UTILIZATION..DEV.","CIG.PANNONIA.LIFE.IN.","CSEPEL.HOLDING","DUNA.HOUSE.HOLDING","EHEP.SHARE","ENEFI.ENERGY","EST.MEDIA","EXTERNET","FHB.SHARE","FINEXT.SHARE","FORRAS.FORRAS.T","FUTURAQUA","GRAPHISOFT.PARK.SE.SHARE","KARTONPACK","KEG.CTL.EUR.LPG.TERM.","KEY.SOFT","KONZUM.TRDG...INDL.","MASTERPLAST","NORDTELEKOM.TELECOM.SX.","NTH.HUNGARIAN.ELTY.SUPP.","NUTEX.INVESTMENTS","OPMIUS.GROUP","ORMESTER","OTT.ONE","PANNERGY","PANNON.VALTO","PLOTINUS.HOLDING","RABA.AUTOMOTIVE.GP.","TR.INVESTMENT","ZWACK.UNICUM","ADIDAS..BUD.","ARCELORMITTAL..BUD.","AXA..BUD.","BANCO.SANTANDER..BUD.","BASF..BUD.","BAYER..BUD.","BBV.ARGENTARIA..BUD.","BMW..BUD.","BNP.PARIBAS..BUD.","COMMERZBANK..BUD.","DAIMLER..BUD.","DEUTSCHE.BANK..BUD.","DEUTSCHE.LUFTHANSA..BUD.","E.ON..BUD.","INFINEON.TECH.N..BUD.","LINDE..BUD.","NOKIA..BUD.","SIEMENS..BUD.","TELEFONICA..BUD.","THYSSENKRUPP..BUD.","TOTAL..BUD.","ERWOJ.TURBO.LONG.03.CKT.","ERWOJ.TURBO.LONG.70.CKT.","FORRAS.TRUST...INV."
"1",1,2004,0.05,0,0.05,0.1,0.3,NA,NA,NA,NA,NA,0.7,NA,0.7,NA,1,NA,0.05,NA,0.2,NA,0.05,NA,NA,1,NA,NA,0.9,NA,NA,0.15,0.25,0.25,NA,NA,0.2,0.65,NA,0.25,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
"2",2,2004,0.05,0.05,0,0.05,0.4,NA,NA,NA,NA,NA,0.6,NA,0.9,NA,1,NA,0.25,NA,0.05,NA,0.1,NA,NA,1,NA,NA,0.45,NA,NA,0.4,0.4,0.15,NA,NA,0.25,0.9,NA,0.05,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"3",3,2004,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,0.0454545454545455,NA,NA,NA,NA,NA,0.681818181818182,NA,0.818181818181818,NA,1,NA,0.181818181818182,NA,0.0909090909090909,NA,0.0909090909090909,NA,NA,1,NA,NA,0.363636363636364,NA,NA,0.136363636363636,0.272727272727273,0.0909090909090909,NA,NA,0.0454545454545455,0.772727272727273,NA,0.136363636363636,NA,0.227272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.227272727272727
"4",4,2004,0.0476190476190476,0,0.142857142857143,0,0.142857142857143,NA,NA,NA,NA,NA,0.571428571428571,NA,0.904761904761905,NA,0.952380952380952,NA,0.142857142857143,NA,0.0476190476190476,NA,0,NA,NA,1,NA,NA,0.285714285714286,NA,NA,0.142857142857143,0.19047619047619,0.285714285714286,NA,NA,0.142857142857143,0.666666666666667,NA,0.19047619047619,NA,0.380952380952381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238095238
"5",5,2004,0,0,0,0,0.15,NA,NA,NA,NA,NA,0.35,NA,0.8,NA,1,NA,0.1,NA,0.25,NA,0,NA,NA,1,NA,NA,0.6,NA,NA,0.3,0.15,0.3,NA,NA,0.3,0.8,NA,0.4,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2
"6",6,2004,0,0.0454545454545455,0,0.0909090909090909,0.318181818181818,NA,NA,NA,NA,NA,0.409090909090909,NA,0.863636363636364,NA,1,NA,0.0454545454545455,NA,0.0454545454545455,NA,0.136363636363636,NA,NA,1,NA,NA,0.727272727272727,NA,NA,0.181818181818182,0.0909090909090909,0.545454545454545,NA,NA,0.0454545454545455,0.5,NA,0.227272727272727,NA,0.272727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136363636363636
"7",7,2004,0.0454545454545455,0,0,0.0909090909090909,0.227272727272727,NA,NA,NA,NA,NA,0.545454545454545,NA,1,NA,1,NA,0.363636363636364,NA,0.136363636363636,NA,0.181818181818182,NA,NA,1,NA,NA,0.772727272727273,NA,NA,0.0909090909090909,0.272727272727273,0.363636363636364,NA,NA,0.0909090909090909,0.590909090909091,NA,0.272727272727273,NA,0.136363636363636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"8",8,2004,0.0476190476190476,0,0.0476190476190476,0.0476190476190476,0.0952380952380952,NA,NA,NA,NA,NA,0.380952380952381,NA,1,NA,1,NA,0.285714285714286,NA,0.0476190476190476,NA,0.0952380952380952,NA,NA,1,NA,NA,0.761904761904762,NA,NA,0.238095238095238,0.380952380952381,0.523809523809524,NA,NA,0.19047619047619,0.571428571428571,NA,0.285714285714286,NA,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.238095238095238
"9",9,2004,0.0909090909090909,0,0.0454545454545455,0.136363636363636,0.181818181818182,0,NA,NA,NA,NA,0.363636363636364,NA,0.909090909090909,NA,1,NA,0.136363636363636,NA,0.0454545454545455,NA,0.0909090909090909,NA,NA,1,NA,NA,0.727272727272727,NA,NA,0.0454545454545455,0.0909090909090909,0.227272727272727,NA,NA,0.0909090909090909,0.318181818181818,NA,0.272727272727273,NA,0.363636363636364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.272727272727273
"10",10,2004,0,0,0,0.0476190476190476,0.19047619047619,0.142857142857143,NA,NA,NA,NA,0.523809523809524,NA,0.952380952380952,NA,0.952380952380952,NA,0.285714285714286,NA,0.0476190476190476,NA,0.0952380952380952,NA,NA,1,NA,NA,0.523809523809524,NA,NA,0,0.523809523809524,0.19047619047619,NA,NA,0.0476190476190476,0.571428571428571,NA,0.19047619047619,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
